ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
,,,ANDHRA PRADESH,ANDHRA PRADESH,,,0,0,0
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
SG 3254,Q400,124567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
SG 3253,Q400,134567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
SG 1075,Q400,134567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
I5 1452,A 320,2,KARNATAKA,ANDHRA PRADESH,29-Oct-2019,24-Mar-2020,147,1,21.14285714
I5 1452,A 320,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
I5 1458,A 320,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 651,A 321,1234567,CHHATTISGARH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 651,A 321,1234567,CHHATTISGARH,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,7,153
6E 2719,A 320,7,DELHI,ANDHRA PRADESH,27-Oct-2019,22-Mar-2020,147,1,21.14285714
6E 2719,A 320,3,DELHI,ANDHRA PRADESH,30-Oct-2019,18-Mar-2020,140,1,20.14285714
6E 2719,A 320,3,DELHI,ANDHRA PRADESH,25-Mar-2020,25-Mar-2020,0,1,0.1428571429
6E 2719,A 320,12456,DELHI,ANDHRA PRADESH,28-Oct-2019,28-Mar-2020,152,5,109.2857143
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,3-Nov-2019,3-Nov-2019,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,17-Nov-2019,17-Nov-2019,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,1-Dec-2019,1-Dec-2019,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,15-Dec-2019,15-Dec-2019,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,29-Dec-2019,5-Jan-2020,7,1,1.142857143
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,19-Jan-2020,19-Jan-2020,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,2-Feb-2020,2-Feb-2020,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,16-Feb-2020,16-Feb-2020,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,1-Mar-2020,1-Mar-2020,0,1,0.1428571429
6E 2197,A 320,7,DELHI,ANDHRA PRADESH,15-Mar-2020,15-Mar-2020,0,1,0.1428571429
6E 2197,A 320,123456,DELHI,ANDHRA PRADESH,30-Dec-2019,4-Jan-2020,5,6,5.142857143
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,2-Nov-2019,6,7,7
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,4-Nov-2019,16-Nov-2019,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,18-Nov-2019,30-Nov-2019,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,2-Dec-2019,14-Dec-2019,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,16-Dec-2019,28-Dec-2019,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,6-Jan-2020,18-Jan-2020,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,20-Jan-2020,1-Feb-2020,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,3-Feb-2020,15-Feb-2020,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,17-Feb-2020,29-Feb-2020,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,2-Mar-2020,14-Mar-2020,12,7,13
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,16-Mar-2020,28-Mar-2020,12,7,13
6E 2564,A 320,1234567,DELHI,ANDHRA PRADESH,15-Nov-2019,28-Mar-2020,134,7,135
6E 2719,A 320,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 2197,A 320,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 560,B 788,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 542,A 321,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 544,A 320,3,DELHI,ANDHRA PRADESH,30-Oct-2019,25-Mar-2020,147,1,21.14285714
AI 544,A 320,257,DELHI,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,3,65.57142857
AI 839,A 321,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 459,A 320,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 467,A 320,7,DELHI,ANDHRA PRADESH,27-Oct-2019,22-Mar-2020,147,1,21.14285714
AI 467,A 320,123456,DELHI,ANDHRA PRADESH,28-Oct-2019,28-Mar-2020,152,6,131.1428571
AI 487,A 320,15,DELHI,ANDHRA PRADESH,28-Oct-2019,27-Mar-2020,151,2,43.42857143
AI 451,A 321,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 560,A 320,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 542,A 321,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 544,A 320,2357,DELHI,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,4,87.42857143
AI 839,A 321,6,DELHI,ANDHRA PRADESH,28-Mar-2020,28-Mar-2020,0,1,0.1428571429
AI 839,A 321,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,7,153
AI 459,A 319,257,DELHI,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,3,65.57142857
AI 459,A 319,1346,DELHI,ANDHRA PRADESH,28-Oct-2019,28-Mar-2020,152,4,87.42857143
AI 467,A 319,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 485,A 320,146,DELHI,ANDHRA PRADESH,28-Oct-2019,28-Mar-2020,152,3,65.57142857
AI 487,A 320,15,DELHI,ANDHRA PRADESH,28-Oct-2019,27-Mar-2020,151,2,43.42857143
AI 451,A 321,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
SG 8903,B 738,1234567,DELHI,ANDHRA PRADESH,27-Oct-2019,30-Nov-2019,34,7,35
SG 8903,B 738,1234567,DELHI,ANDHRA PRADESH,01-Dec-2019,29-Feb-2020,90,7,91
SG 8903,B 738,1234567,DELHI,ANDHRA PRADESH,01-Mar-2020,28-Mar-2020,27,7,28
6E 288,A 320,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7107,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7204,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 409,A 320,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
6E 7231,ATR 72,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
6E 7231,ATR 72,2,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
6E 208,A 320,14567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,5,110
6E 208,A 320,3,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
6E 208,A 320,2,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
6E 7114,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7134,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7107,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7231,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7114,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7204,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7134,ATR 72,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 288,A 320,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 409,A 320,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
6E 208,A 320,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
6E 208,A 320,2,KARNATAKA,ANDHRA PRADESH,29-Oct-2019,24-Mar-2020,147,1,21.14285714
I5 1452,A 320,2,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
I5 1452,A 320,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
I5 1458,A 320,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
I5 1458,A 320,2,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
AI 516,A 320,2,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
AI 516,A 320,157,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,3,66
AI 516,A 320,36,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,2,44
AI 516,A 320,4,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
AI 516,A 319,2,KARNATAKA,ANDHRA PRADESH,29-Oct-2019,24-Mar-2020,147,1,21.14285714
AI 516,A 319,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
ER4,,157,KARNATAKA,ANDHRA PRADESH,27-10-19,27-03-20,152,3,65.57142857
ER4,,2,KARNATAKA,ANDHRA PRADESH,29-10-19,24-03-20,147,1,21.14285714
ER4,,157,KARNATAKA,ANDHRA PRADESH,27-10-19,27-03-20,152,3,65.57142857
ER4,,346,KARNATAKA,ANDHRA PRADESH,30-10-19,28-03-20,150,3,64.71428571
ER4,,2,KARNATAKA,ANDHRA PRADESH,29-10-19,24-03-20,147,1,21.14285714
ATR 72,,134567,KARNATAKA,ANDHRA PRADESH,27-10-19,28-03-20,153,6,132
ATR 72,,1234567,KARNATAKA,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
ATR 72,,1234567,KARNATAKA,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
ATR 72,,1234567,KARNATAKA,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
SG 3417,Q400,124567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
SG 3417,Q400,3,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,1,22
SG 3408,Q400,134567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
SG 1074,Q400,134567,KARNATAKA,ANDHRA PRADESH,21-Nov-2019,28-Mar-2020,128,6,110.5714286
SG 3309,Q400,1234567,KARNATAKA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
SG 1072,Q400,1234567,KERALA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7992,ATR 72,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7992,ATR 72,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 615,A 319,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 617,A 319,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 619,A 319,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 615,A 319,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,7,153
AI 617,A 319,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,7,153
AI 619,A 319,1234567,MAHARASHTRA,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,7,153
AI 652,A 320,12345,MAHARASHTRA,ANDHRA PRADESH,28-Oct-2019,27-Mar-2020,151,5,108.5714286
AI 652,A 320,12345,MAHARASHTRA,ANDHRA PRADESH,28-Oct-2019,27-Mar-2020,151,5,108.5714286
AI 776,A 320,1234567,ODISHA,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 557,A 320,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7132,ATR 72,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 6835,A 320,6,TAMIL NADU,ANDHRA PRADESH,2-Nov-2019,28-Mar-2020,147,1,21.14285714
6E 6835,A 320,123457,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,6,131.1428571
6E 7208,ATR 72,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 882,A 320,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7125,ATR 72,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7125,ATR 72,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7132,ATR 72,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7208,ATR 72,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 557,A 320,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 6835,A 320,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 882,A 320,1234567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 545,A 321,124567,TAMIL NADU,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,6,132
AI 545,A 321,3,TAMIL NADU,ANDHRA PRADESH,30-Oct-2019,25-Mar-2020,147,1,21.14285714
